8,22,22,22,16,19,20,31,7,26,12,18,17,19,26,19,10,16,28,5,11,21,22,11,22,14,24,30,1,13,22,28,30,15,30,18,23,20,20,35,33,13,24,17,28,21,22,20,27,58,104,83,107,135,143,207,144,108,46,18,41,28,35,33,27,26,60,120,138,148,115,97,49,32,29,32,39,20,24,25,14,25,103,135,154,154,125,113,39,30,6,17,22,21,111,129,137,132,180,167,152,157,122,108,81,33,24,21,20,21,17,17,23,25,10,29,12,30,7,19,26,20,17,23,21,24,16,22,16,18,30,23,20,27,29,16,32,18,37,29,15,30,22,11,16,31,38,18,23,13,6,31,17,21,31,13,16,28,22,22,19,27,31,30,30,7,30,8,8,8,18,13
13,25,9,23,17,17,18,14,34,18,3,18,14,29,37,15,19,21,17,8,15,20,19,10,22,25,7,28,27,16,17,3,22,16,27,13,29,28,15,15,22,27,12,14,22,52,86,71,122,118,184,184,201,213,213,46,22,21,14,35,30,26,23,117,134,134,127,105,105,27,31,20,31,28,24,23,17,100,162,162,192,194,194,92,38,11,3,24,16,25,32,15,123,123,145,130,130,155,169,169,169,120,114,114,49,21,18,18,23,18,18,21,2,18,7,10,11,5,22,10,21,5,25,10,23,17,8,22,13,25,12,24,14,25,15,14,29,20,11,29,20,8,26,14,9,30,25,28,26,15,15,15,18,17,5,12,9,27,7,18,27,12,19,18,17,29,27,23,19,14,20,19
16,4,17,29,17,31,23,4,10,15,16,0,21,18,4,7,22,28,12,14,12,34,25,6,35,5,21,11,27,8,25,7,31,19,0,23,32,19,22,36,16,4,10,23,18,7,27,14,16,29,7,17,30,70,103,83,118,119,120,145,148,157,157,56,30,16,18,25,26,31,16,12,47,125,149,149,149,79,31,14,38,26,19,23,27,30,13,14,125,125,142,159,144,144,40,27,26,22,22,28,23,25,104,104,104,127,119,119,124,129,129,119,110,99,99,51,34,25,21,32,22,13,11,21,28,26,12,21,18,14,16,28,19,22,16,29,23,24,35,15,14,32,19,26,24,33,35,21,17,31,13,20,16,28,5,23,27,14,16,39,23,10,11,12,25,25,18,10,19,30,11,3
3,24,6,2,24,23,31,27,35,26,25,7,13,23,12,27,23,15,32,29,26,30,16,22,24,21,31,5,9,9,26,23,26,10,13,8,21,7,28,27,31,30,75,90,80,118,92,147,115,144,76,29,32,23,20,15,34,19,9,17,54,108,130,108,111,73,38,34,24,15,19,19,20,23,11,26,94,161,139,125,155,116,41,26,27,8,29,23,18,27,108,141,119,121,114,143,145,143,140,126,104,94,98,88,44,27,9,9,28,25,15,25,30,11,17,12,13,11,21,10,0,31,25,7,8,22,26,7,29,14,20,15,11,31,11,16,18,17,28,12,22,11,12,30,11,4,24,6,15,16,18,28,25,29,18,16,16,28,24,15,6,20,17,11,14,20,9,27,29,23,19,27
14,18,27,13,18,26,29,19,4,28,23,8,35,17,33,27,17,19,15,22,2,19,15,18,15,13,12,8,1,31,27,0,5,16,7,26,76,88,95,106,151,151,151,102,48,29,34,36,23,23,30,33,67,147,150,150,150,144,91,66,33,28,34,20,32,20,26,31,18,119,185,187,210,210,144,53,39,32,28,29,23,24,94,94,182,170,170,170,183,173,173,133,115,104,93,44,26,24,21,15,13,22,26,22,24,27,28,31,22,34,27,12,14,16,17,20,18,14,9,21,12,11,25,10,22,24,18,10,31,19,14,31,11,31,23,26,25,10,7,22,8,24,20,17,27,25,15,21,8,17,27,23,17,29,29,21,22,24,21,20,13,10,21,16,20,17,8,20,17,17,17,13
13,14,19,17,17,5,5,22,9,18,7,15,24,23,4,30,35,14,26,14,30,4,15,2,20,7,12,25,19,33,31,23,30,16,16,22,12,15,13,19,21,28,16,23,30,21,14,30,22,20,20,30,28,16,26,68,108,135,123,178,202,162,106,46,27,31,28,32,14,32,31,24,80,134,176,163,157,131,86,35,20,29,34,18,20,31,23,32,24,155,181,135,149,143,68,17,28,19,29,23,17,54,154,146,143,118,130,135,133,153,136,129,123,115,88,43,24,32,17,10,18,17,22,10,28,18,24,16,31,19,7,15,18,3,13,24,8,21,24,18,13,30,33,29,29,31,25,28,22,0,18,6,25,15,14,6,13,31,6,6,22,31,10,18,1,25,20,15,21,20,21,31
31,17,12,24,29,29,27,12,25,21,13,13,30,20,18,28,31,15,21,26,26,9,11,9,9,17,3,22,9,16,6,27,20,20,10,19,29,7,31,3,5,29,10,28,29,30,6,17,27,12,6,28,42,84,122,148,135,181,220,190,183,92,34,31,32,22,15,22,37,157,172,201,167,142,83,40,30,26,21,21,32,30,20,11,40,129,165,172,155,164,107,49,20,23,28,14,18,32,148,147,134,130,118,139,130,121,123,120,111,111,87,58,28,27,25,16,4,24,14,9,22,21,20,26,13,18,9,23,22,23,22,16,18,38,21,31,24,24,27,27,11,28,16,5,2,30,25,28,11,13,8,8,15,32,13,22,11,27,6,27,17,31,19,27,43,22,20,10,10,14,26,18
11,9,11,15,2,19,31,31,14,8,6,20,19,7,17,11,6,16,23,25,6,4,33,19,15,18,18,14,17,24,16,88,68,99,139,141,178,173,150,71,28,20,12,30,23,23,14,8,24,148,152,146,90,57,23,15,27,22,30,31,22,29,14,29,120,172,159,158,149,89,32,15,29,13,14,28,34,19,14,97,113,132,131,123,118,126,135,133,131,134,116,112,87,40,20,11,18,15,21,22,13,15,14,22,6,9,18,3,24,7,21,6,19,29,24,6,22,16,9,9,12,16,30,21,11,24,21,24,11,12,31,31,27,25,9,0,23,5,27,14,18,24,27,11,15,11,30,26,30,17,21,4,24,16,13,13,15,17,16,16,21,26,10,30,23,14,14,14,21,10,29,14
16,28,31,12,14,12,20,31,19,13,12,13,21,15,12,21,31,9,15,23,7,20,11,27,23,31,24,14,23,27,11,28,29,1,21,26,28,22,11,10,23,19,6,12,18,14,28,17,5,16,12,20,16,31,23,13,18,20,10,7,73,141,148,152,192,147,125,58,23,29,20,23,26,30,16,17,121,121,121,153,109,60,32,36,11,15,20,21,25,15,28,76,137,178,152,126,142,71,44,12,4,30,11,20,33,92,127,99,99,99,99,102,102,107,96,96,96,66,31,25,27,3,15,36,13,8,24,15,12,18,17,9,14,29,29,5,24,25,8,14,18,30,15,6,28,4,4,21,28,17,8,19,22,16,19,26,30,20,22,28,23,31,12,29,13,19,31,10,18,9,15,20
22,14,16,9,19,25,5,16,18,15,11,29,29,27,4,19,31,27,16,13,17,15,25,21,19,18,25,14,14,16,20,33,69,71,81,114,120,151,133,133,19,19,14,14,22,20,26,27,93,149,137,156,120,120,47,36,30,20,24,27,29,23,27,7,27,153,173,173,161,159,62,27,9,29,30,21,27,9,54,158,140,140,128,124,107,107,100,121,136,131,115,112,112,48,28,16,12,24,8,25,20,16,16,14,11,12,30,6,20,28,27,27,7,22,17,15,8,29,27,28,10,5,12,28,19,28,10,18,12,11,29,15,8,18,12,15,16,27,24,25,7,10,26,7,10,18,20,27,8,29,16,30,9,19,12,29,21,35,15,29,15,13,20,20,6,20,18,16,22,32,9,18
