55,19,13,24,26,9,30,28,23,20,26,2,19,28,25,14,9,21,10,30,8,6,18,22,20,20,20,12,33,33,18,17,30,29,32,64,90,169,210,251,182,249,191,241,222,256,204,232,205,245,200,245,226,253,288,204,110,62,41,47,37,37,14,21,12,30,30,25,33,30,39,31,22,24,26,35,21,32,32,35,34,29,22,30,23,27,20,28,22,31,29,36,25,29,29,20,28,29,26,30,32,34,18,25,22,28,30,19,29,29,27,32,41,31,25,31,28,26,8,17,26,26,35,37,29,21,24,40,46,34,39,35,40,51,38,48,44,46,37,36,29,30,19,21,35,33,20,19,38,24,26,53,37,34,20,37,33,27,30,31,18,13,25,24,24,21,17,22,12,31,13,25
18,29,19,17,19,28,28,28,23,35,26,25,36,44,21,16,11,20,10,26,15,18,19,26,17,34,15,31,63,93,123,224,240,266,257,313,238,297,274,247,287,262,231,187,208,193,257,212,150,75,66,33,30,31,37,25,31,27,29,31,25,26,41,28,28,18,19,33,26,30,31,22,35,33,24,33,21,20,32,28,32,22,40,30,30,25,31,13,30,20,20,14,21,14,36,25,18,13,27,14,23,28,30,20,13,20,23,24,32,23,24,15,27,16,19,15,25,19,19,33,25,27,25,29,33,16,13,27,25,31,26,16,25,28,27,20,36,24,33,35,41,41,32,34,31,27,17,31,25,29,21,26,34,24,16,30,42,25,33,29,25,21,28,21,18,22,35,28,16,21,21,21
21,16,23,12,15,19,25,31,24,11,17,26,27,29,18,14,9,2,2,15,28,24,29,26,20,13,15,24,29,26,30,29,21,29,8,8,27,9,14,16,29,30,15,27,26,26,6,29,19,8,29,12,8,20,34,23,21,18,10,13,16,28,16,33,28,13,7,16,8,9,6,14,4,23,25,12,30,13,13,15,24,9,31,35,35,168,185,185,185,367,262,262,213,272,272,241,196,218,218,233,237,237,138,70,53,10,6,15,13,4,16,24,16,29,24,8,31,11,15,26,27,29,31,29,18,28,33,30,32,38,29,24,49,33,24,41,41,28,35,37,23,25,19,33,18,33,22,29,24,28,19,16,24,34,35,22,29,38,31,23,18,20,16,29,19,23,12,7,15,5,14,19
26,16,27,14,29,13,14,14,3,27,8,27,20,16,9,21,23,24,27,14,9,21,26,22,14,28,10,26,10,8,31,23,7,25,15,14,13,20,22,22,16,17,24,29,10,17,20,33,15,20,19,28,4,27,23,24,25,15,19,24,29,34,25,88,142,136,151,171,277,221,266,193,233,200,208,203,191,151,165,234,215,159,79,42,22,39,13,20,21,31,16,6,21,2,28,23,20,21,24,28,25,2,16,11,19,32,19,23,18,24,25,29,32,21,25,25,24,29,12,24,10,28,15,30,14,20,14,16,17,33,30,37,34,37,32,30,30,31,37,35,29,17,20,25,10,21,22,7,26,12,17,25,24,29,27,31,30,14,8,9,31,14,21,26,10,9,16,30,23,24,21,5
29,7,7,15,13,10,22,9,20,8,29,23,14,24,15,11,18,12,20,16,11,20,29,71,108,108,160,230,230,220,161,225,225,223,148,148,127,152,152,152,121,102,102,33,31,19,27,25,13,10,17,28,18,25,29,26,31,19,16,20,23,20,14,31,29,22,31,17,12,20,16,19,9,26,13,28,28,28,9,30,33,20,21,28,30,15,28,19,25,22,31,25,11,11,26,29,25,27,31,21,23,16,16,31,17,2,21,12,27,26,20,25,27,35,11,8,15,15,7,14,14,19,22,6,10,27,31,13,20,22,33,29,22,28,28,27,34,31,37,30,36,25,30,21,23,6,6,11,25,26,17,15,36,29,31,18,17,32,20,19,19,30,10,23,23,7,24,11,20,19,19,31
31,27,28,29,43,14,20,20,30,16,31,23,3,8,14,19,11,30,42,64,139,151,151,153,254,254,265,230,230,230,223,217,217,175,139,221,221,188,152,152,56,34,19,31,19,17,12,19,31,15,17,20,10,11,11,20,10,15,14,23,18,23,18,33,28,10,31,25,22,23,35,28,29,28,21,30,33,23,20,20,19,22,39,18,21,20,20,15,27,12,16,20,22,15,8,33,19,27,22,16,21,21,21,4,26,31,5,17,29,35,20,22,24,17,38,13,21,24,29,1,18,22,0,15,14,24,20,13,11,21,32,10,35,18,31,38,23,25,32,30,45,35,34,28,29,22,27,2,29,6,8,9,13,4,18,13,32,45,22,28,25,24,13,6,26,17,16,15,23,28,2,4
4,24,9,11,18,21,21,30,22,13,24,34,2,1,14,25,31,31,22,18,27,34,68,98,120,196,243,192,159,162,127,184,144,182,175,185,239,185,181,199,148,117,58,34,32,13,17,33,32,35,28,19,28,19,33,31,21,11,29,32,10,30,31,25,29,28,23,14,30,26,16,30,24,30,31,19,26,12,17,24,14,14,24,22,23,29,11,27,3,10,23,9,11,15,18,19,10,25,29,16,17,23,18,14,25,30,16,19,19,22,11,11,30,21,17,19,13,27,18,27,7,8,2,22,18,30,8,30,23,9,16,16,25,23,25,20,22,33,25,28,24,29,20,11,11,19,9,20,14,6,18,26,31,7,18,25,20,20,22,22,34,20,29,11,17,5,23,25,18,27,19,9
9,30,23,12,14,17,24,28,21,12,19,16,17,19,31,23,7,25,54,116,142,188,282,259,332,266,292,265,217,250,222,239,173,192,169,229,205,178,139,66,34,23,32,30,32,29,18,5,27,18,9,26,25,9,26,13,27,24,21,17,15,16,11,13,22,11,13,7,32,16,25,12,20,6,11,16,20,22,15,23,30,7,18,14,22,27,24,12,17,5,13,11,28,17,28,28,3,19,19,20,15,30,14,19,14,27,9,9,8,11,0,21,29,25,15,25,19,5,20,32,25,34,42,35,23,23,29,24,29,28,51,38,49,43,43,64,57,47,69,59,54,44,45,44,40,36,59,58,28,28,34,11,28,33,33,43,45,42,32,42,30,21,26,25,22,20,24,22,7,23,17,31
14,5,3,19,10,24,16,10,26,14,22,18,28,23,30,8,25,17,19,23,25,4,19,30,38,61,70,70,157,256,256,321,251,251,209,276,206,206,181,252,252,181,161,180,180,138,91,40,25,22,20,22,28,24,17,15,10,23,31,9,16,15,28,32,29,21,22,11,23,11,15,24,21,9,28,9,26,7,25,24,10,23,12,7,26,22,23,27,19,29,3,30,24,19,27,23,25,30,18,27,27,20,26,22,23,11,19,20,27,14,19,17,3,29,26,29,9,8,11,16,23,32,15,12,7,29,18,19,24,3,8,29,19,32,26,27,32,32,31,35,31,20,18,13,32,21,24,11,30,13,12,27,25,28,25,32,40,29,33,27,22,31,18,25,5,23,22,10,31,20,23,27
2,22,11,16,14,21,12,29,18,30,24,25,20,12,16,19,31,26,25,24,24,21,5,21,31,7,32,23,2,19,28,26,8,26,12,39,60,93,153,262,186,248,186,277,177,258,201,237,206,200,163,154,159,134,222,195,168,121,56,51,36,13,22,4,13,14,14,28,21,25,9,27,9,27,14,10,23,24,29,16,28,19,15,14,26,24,28,16,25,23,11,10,5,20,21,23,15,13,22,29,30,29,18,10,22,15,22,24,30,28,17,32,23,28,28,13,20,18,8,16,6,9,19,3,24,21,22,22,19,20,20,23,17,32,25,30,27,34,22,34,16,5,11,17,0,27,31,7,24,8,16,9,19,8,33,18,10,39,9,1,35,30,25,26,25,30,18,32,24,20,17,24
