220,91,84
215,88,84
210,92,84
210,89,84
205,93,83
200,88,82
195,91,81
195,89,80
190,89,80
185,86,79
180,87,80
180,86,80
175,84,82
170,77,73
165,76,62
165,87,63
160,84,72
155,77,68
150,70,68
150,78,102
155,80,99
160,86,111
165,81,121
165,82,102
170,85,122
175,87,109
180,88,109
180,79,71
185,75,99
190,87,115
195,91,123
195,90,136
200,87,140
205,90,113
210,93,121
210,92,111
215,90,110
220,91,99
225,89,106
225,88,104
220,88,110
215,85,107
210,87,128
210,93,113
205,92,86
200,90,88
195,83,86
195,86,81
190,91,79
185,89,79
180,91,80
180,87,80
175,91,79
170,80,73
165,76,76
165,78,74
160,84,73
155,80,72
150,72,69
150,73,70
155,73,61
160,80,68
165,76,75
165,77,71
170,83,75
175,88,75
180,78,74
180,80,77
185,83,77
190,87,77
195,87,78
195,88,79
200,81,79
205,86,78
210,86,77
210,90,81
215,89,83
220,89,83
225,88,86
225,94,85
220,90,82
215,82,75
210,87,74
210,94,80
205,91,83
200,88,83
195,90,81
195,87,82
190,81,78
185,81,72
180,84,79
180,88,80
175,85,78
170,85,81
165,74,74
165,82,71
160,82,76
155,73,76
150,78,74
150,81,72
155,77,71
160,76,73
165,69,71
165,79,74
170,81,74
175,86,76
180,88,76
180,86,77
185,88,78
190,91,78
195,86,79
195,87,79
200,88,80
205,81,71
210,82,65
210,85,75
215,92,83
220,92,84
