240,86,90
240,85,75
230,80,79
230,79,87
220,84,87
220,85,74
210,78,82
210,77,84
200,81,78
200,80,81
190,76,83
190,77,79
180,80,69
180,74,78
170,72,80
170,70,73
160,73,72
160,72,75
150,70,68
150,75,60
140,68,69
140,62,66
130,64,67
130,58,58
120,60,53
120,58,57
110,62,60
110,58,55
100,53,53
100,53,53
90,51,48
90,46,46
80,46,42
80,40,37
70,34,35
70,32,31
60,22,24
60,23,24
50,11,13
50,20,20
60,4,4
60,0,0
70,0,0
70,0,0
80,0,0
80,0,0
90,0,0
90,0,0
100,0,0
100,0,0
110,0,0
110,0,0
120,0,0
120,9,5
130,34,38
130,52,57
140,63,62
140,63,65
150,71,67
150,69,70
160,70,71
160,72,72
170,71,66
170,72,67
180,74,75
180,73,78
190,74,78
190,83,72
200,78,80
200,79,82
210,77,82
210,78,82
220,75,73
220,77,75
230,83,84
230,87,87
240,84,88
240,83,89
